昆明市	530100
曲靖市	530300
玉溪市	530400
保山市	530500
昭通市	530600
丽江市	530700
普洱市	530800
临沧市	530900
楚雄州	532300
红河州	532500
文山州	532600
西双版纳州	532800
大理州	532900
德宏州	533100
怒江州	533300
迪庆州	533400
昭通市	巧家县	老店镇	530622106
昭通市	巧家县	茂租乡	530622201
昭通市	巧家县	东坪乡	530622202
昭通市	盐津县	盐井镇	530623101
昭通市	盐津县	普洱镇	530623102
昭通市	盐津县	豆沙镇	530623103
昭通市	盐津县	中和镇	530623104
昭通市	盐津县	兴隆乡	530623201
昭通市	盐津县	落雁乡	530623202
昭通市	盐津县	滩头乡	530623203
昭通市	盐津县	牛寨乡	530623204
昭通市	盐津县	庙坝乡	530623205
昭通市	盐津县	柿子乡	530623206
昭通市	大关县	翠华镇	530624101
昭通市	大关县	玉碗镇	530624102
昭通市	大关县	吉利镇	530624103
昭通市	大关县	天星镇	530624104
昭通市	大关县	木杆镇	530624105
昭通市	大关县	悦乐镇	530624106
昭通市	大关县	上高桥乡	530624201
昭通市	大关县	寿山乡	530624202
昭通市	大关县	高桥乡	530624203
昭通市	永善县	溪洛渡镇	530625101
昭通市	永善县	桧溪镇	530625102
昭通市	永善县	黄华镇	530625103
昭通市	永善县	茂林镇	530625104
昭通市	永善县	大兴镇	530625105
昭通市	永善县	莲峰镇	530625106
昭通市	永善县	团结乡	530625201
昭通市	永善县	细沙乡	530625202
昭通市	绥江县	中城镇	530626101
昭通市	绥江县	南岸镇	530626102
昭通市	绥江县	新滩镇	530626103
昭通市	绥江县	会仪镇	530626104
昭通市	绥江县	板栗乡	530626201
昭通市	镇雄县	乌峰镇	530627101
昭通市	镇雄县	泼机镇	530627102
昭通市	镇雄县	黑树镇	530627103
昭通市	镇雄县	母享镇	530627104
昭通市	镇雄县	大湾镇	530627105
昭通市	镇雄县	以勒镇	530627106
昭通市	镇雄县	赤水源镇	530627107
昭通市	镇雄县	芒部镇	530627108
昭通市	彝良县	角奎镇	530628101
昭通市	彝良县	洛泽河镇	530628102
昭通市	彝良县	牛街镇	530628103
昭通市	彝良县	龙街乡	530628201
昭通市	彝良县	奎香乡	530628202
昭通市	彝良县	树林乡	530628203
昭通市	彝良县	海子镇	530628204
昭通市	彝良县	荞山镇	530628205
昭通市	威信县	扎西镇	530629101
昭通市	威信县	旧城镇	530629102
昭通市	威信县	双河乡	530629201
昭通市	威信县	高田乡	530629202
昭通市	威信县	罗布乡	530629203
昭通市	威信县	林凤乡	530629204
昭通市	威信县	长安乡	530629205
昭通市	威信县	庙沟乡	530629206
昭通市	威信县	三桃乡	530629207
昭通市	威信县	水田乡	530629208
昭通市	水富县	向家坝镇	530630101
昭通市	水富县	太平乡	530630201
昭通市	水富县	两碗乡	530630202
丽江市	古城区	西安街道	530702001
丽江市	古城区	大研街道	530702002
丽江市	古城区	祥和街道	530702003
丽江市	古城区	束河街道	530702004
丽江市	古城区	金安乡	530702201
丽江市	古城区	七河乡	530702202
丽江市	古城区	大东乡	530702203
丽江市	古城区	金江白族乡	530702204
丽江市	古城区	金山白族乡	530702205
丽江市	玉龙县	黄山镇	530721101
丽江市	玉龙县	石鼓镇	530721102
丽江市	玉龙县	巨甸镇	530721103
丽江市	玉龙县	白沙乡	530721201
丽江市	玉龙县	拉市乡	530721202
丽江市	玉龙县	太安乡	530721203
丽江市	玉龙县	龙蟠乡	530721204
丽江市	玉龙县	黎明乡	530721205
丽江市	永胜县	永北镇	530722101
丽江市	永胜县	仁和镇	530722102
丽江市	永胜县	期纳镇	530722103
丽江市	永胜县	三川镇	530722104
丽江市	永胜县	程海镇	530722105
丽江市	永胜县	羊坪彝族乡	530722201
丽江市	永胜县	六德乡	530722202
丽江市	永胜县	东山乡	530722203
丽江市	华坪县	中心镇	530723101
丽江市	华坪县	荣将镇	530723102
丽江市	华坪县	兴泉镇	530723103
丽江市	华坪县	石龙坝镇	530723104
丽江市	华坪县	新庄乡	530723202
丽江市	华坪县	通达乡	530723203
丽江市	华坪县	永兴乡	530723204
丽江市	华坪县	船房傈乡	530723205
丽江市	宁蒗县	大兴镇	530724101
丽江市	宁蒗县	拉伯乡	530724201
丽江市	宁蒗县	永宁乡	530724202
丽江市	宁蒗县	翠玉乡	530724203
丽江市	宁蒗县	红桥乡	530724204
丽江市	宁蒗县	宁利乡	530724205
丽江市	宁蒗县	金棉乡	530724206
丽江市	宁蒗县	西川乡	530724207
普洱市	思茅区	思茅镇	530802101
普洱市	思茅区	南屏镇	530802102
普洱市	思茅区	倚象镇	530802103
普洱市	思茅区	思茅港镇	530802104
普洱市	思茅区	龙潭乡	530802201
普洱市	思茅区	云仙乡	530802202
普洱市	思茅区	六顺乡	530802203
普洱市	宁洱县	宁洱镇	530821101
普洱市	宁洱县	磨黑镇	530821102
普洱市	宁洱县	德化镇	530821103
普洱市	宁洱县	同心镇	530821104
普洱市	宁洱县	勐先镇	530821105
普洱市	宁洱县	梅子镇	530821106
普洱市	宁洱县	德安乡	530821201
